beach_name,num_samples,samples_235,samples_1000,percent_235,percent_1000,average_sample,beach_id,Latitude,Longitude
South Shore,825,172,31,20.84848485,3.757575758,203.557767,0,41.7689,-87.5636
Howard,793,49,6,6.179066835,0.756620429,63.23156566,1,42.0188,-87.6663
12th Street,824,119,26,14.44174757,3.155339806,150.7680437,2,41.8638,-87.6083
Juneway,789,52,5,6.590621039,0.633713561,63.5678934,3,42.0224,-87.6674
Calumet,890,205,54,23.03370787,6.06741573,225.0682432,4,41.7142,-87.5299
Foster,817,93,25,11.38310894,3.05997552,135.4057669,5,41.9785,-87.6515
Montrose,868,225,73,25.92165899,8.410138249,294.9739331,6,41.9655,-87.6385
63rd Street,850,239,80,28.11764706,9.411764706,304.352,7,41.7827,-87.5748
Osterman,820,99,21,12.07317073,2.56097561,125.1923077,8,41.9877,-87.6545
Ohio Street,832,104,15,12.5,1.802884615,110.4226233,9,41.8935,-87.6152
Leone,594,37,9,6.228956229,1.515151515,79.39005059,10,42.0131,-87.6635
North Avenue,804,55,14,6.84079602,1.741293532,87.84420922,11,41.9148,-87.6273
Oak Street,809,46,10,5.686032138,1.236093943,70.08527228,12,41.9032,-87.6235
Rainbow,846,210,55,24.82269504,6.501182033,252.6943195,13,41.758,-87.551
57th Street,826,116,30,14.04358354,3.631961259,153.5301818,14,41.7911,-87.5797
Rogers,792,44,4,5.555555556,0.505050505,62.4403287,15,42.0213,-87.6666
Hartigan,794,46,11,5.793450882,1.385390428,79.23623737,16,42.0027,-87.6564
Fargo,98,5,0,5.102040816,0,44.01428571,17,42.0161,-87.6647
North Shore,287,21,5,7.317073171,1.742160279,90.41929825,18,42.0027,-87.6564
Loyola,251,22,3,8.764940239,1.195219124,96.0956,19,42.0131,-87.6635
Lane,287,33,7,11.49825784,2.43902439,138.3618881,20,41.9877,-87.6545
Montrose Dog,440,118,41,26.81818182,9.318181818,306.5913636,21,41.96869,-87.642617
Margaret T Burroughs,834,169,49,20.26378897,5.87529976,219.2590636,22,41.8393,-87.6072
Oakwood,603,51,12,8.457711443,1.990049751,98.04809287,23,41.8211,-87.5976
Columbia,286,32,3,11.18881119,1.048951049,98.19049296,24,42.0027,-87.6564
Humboldt,40,1,0,2.5,0,26.77,25,41.90643,-87.703717
Marion Mahony Griffin,728,51,6,7.005494505,0.824175824,72.11969697,26,42.0161,-87.6647
